persona,question,average_score,uncertainty,relative_score
0,1,3.7,0.48304589153964794,1.2999999999999998
0,2,5.0,0.0,0.0
0,3,1.7,0.48304589153964794,0.19999999999999996
0,4,1.6,0.5163977794943223,0.5
0,5,1.6,0.5163977794943223,0.09999999999999987
0,6,3.8,0.4216370213557839,1.2000000000000002
0,7,5.0,0.0,0.0
0,8,3.9,0.5676462121975467,1.1
0,9,1.5,0.5270462766947299,0.30000000000000004
0,10,1.2,0.42163702135578396,0.9000000000000001
0,11,3.4,0.5163977794943223,1.6
0,12,5.0,0.0,0.0
0,13,3.3,0.48304589153964794,0.19999999999999973
0,14,4.3,0.48304589153964794,1.0999999999999996
0,15,0.0,0.0,0.0
0,16,3.8,0.4216370213557839,0.40000000000000036
0,17,5.0,0.0,0.0
0,18,4.0,0.0,2.7
0,19,2.0,0.0,2.0
0,20,2.0,0.0,1.5
0,21,5.0,0.0,0.20000000000000018
0,22,4.5,0.5270462766947299,0.5
0,23,2.6,0.5163977794943223,0.20000000000000018
0,24,0.1,0.31622776601683794,1.7
0,25,0.0,0.0,0.0
0,26,2.4,0.9660917830792958,2.3
0,27,3.4,0.5163977794943223,0.8999999999999999
0,28,2.9,0.8755950357709131,1.0
0,29,2.2,0.4216370213557839,0.8999999999999999
0,30,2.8,0.6324555320336759,1.1
1,1,5.0,0.0,0.0
1,2,5.0,0.0,0.0
1,3,2.5,0.5270462766947299,1.0
1,4,1.8,0.4216370213557839,0.7
1,5,2.0,0.0,0.30000000000000004
1,6,5.0,0.0,0.0
1,7,5.0,0.0,0.0
1,8,4.6,0.5163977794943222,1.7999999999999998
1,9,1.8,0.42163702135578396,0.6000000000000001
1,10,3.3,0.48304589153964794,1.1999999999999997
1,11,5.0,0.0,0.0
1,12,5.0,0.0,0.0
1,13,4.3,0.48304589153964794,1.1999999999999997
1,14,4.2,0.4216370213557839,1.0
1,15,0.1,0.31622776601683794,0.1
1,16,5.0,0.0,0.7999999999999998
1,17,5.0,0.0,0.0
1,18,3.4,0.5163977794943223,2.0999999999999996
1,19,3.7,0.6749485577105528,0.2999999999999998
1,20,2.1,0.31622776601683794,1.6
1,21,5.0,0.0,0.20000000000000018
1,22,4.8,0.4216370213557839,0.20000000000000018
1,23,4.0,0.0,1.6
1,24,0.0,0.0,1.8
1,25,0.6,0.8432740427115678,0.6
1,26,1.9,0.31622776601683794,1.7999999999999998
1,27,4.1,0.31622776601683794,0.20000000000000018
1,28,3.7,0.48304589153964794,1.8000000000000003
1,29,2.7,0.9486832980505138,0.3999999999999999
1,30,2.6,0.8432740427115679,1.2999999999999998
2,1,4.4,0.5163977794943222,0.5999999999999996
2,2,4.6,0.5163977794943222,0.40000000000000036
